Connecting to: https://ezfccfypwmuvbpujkqrg.supabase.co
Unique UserIDs found in data: {'10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6'}

--- APIARIES ---
Apiary: Kibwezi Main Apiary | ID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6 | Status: None
Hive: KIB-H059 | ID: f2497639-f71e-4ad0-8235-acc1b420a9dc | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H060 | ID: 095dd86b-d8fb-4e4a-897d-dec023a40d15 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H061 | ID: c94d70f1-610b-44cc-afa7-33627357e29c | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H062 | ID: d7541494-4876-407a-8f04-b69db2eb336d | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H063 | ID: e0d6e170-196d-492c-87c7-d3a38650449e | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H064 | ID: e39e047c-52ad-4b39-8581-7494817fb060 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H065 | ID: c2952eeb-7249-4eb8-b3eb-85f75f68f0eb | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H066 | ID: 3228e46d-6436-45f7-a675-5f64a1e0ad28 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H067 | ID: 24ad2f80-27ae-445a-b771-a9be99dd468e | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H068 | ID: 7a5409f5-6519-423d-818f-462f757c1f50 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H069 | ID: 3fea72f7-06a2-4ded-afe8-561b8b5ae1ab | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H070 | ID: 9bb47a02-1180-4d0e-865e-5ef2a6818099 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H071 | ID: 7ce7bd87-ee03-4126-aca0-d30e96789d08 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H072 | ID: ded4bb70-a079-484f-b520-e54ade45b3fc | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H073 | ID: 18d8f26f-e690-4021-84bd-df0a2381f394 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H074 | ID: ff2f8c95-7356-4c72-81a3-fc46dea84704 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H075 | ID: c42eafe9-1e88-4243-9c37-769ed9b678c8 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H076 | ID: 9eb1e74f-3ca5-480f-b68f-df272158e0aa | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H077 | ID: d368eac7-317a-47c7-bee7-dfe4108a31b7 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H078 | ID: 86669bd9-06b0-4cf5-b0a9-c1e4f646455a | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H079 | ID: 7e20a466-4d5b-4997-9ea9-23baf064ee93 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H080 | ID: c9a53d39-be0b-462d-a244-cfa1daf3af33 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H081 | ID: e3f3df94-7b88-4374-b0ac-9a867926a8db | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H082 | ID: fd88b18b-082b-4749-8641-6c665e777e5f | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H083 | ID: 1e552822-c1ed-4a5a-84cb-0496c1f2afe3 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H084 | ID: d29fb7b2-0191-47d6-a181-1a34f6d1dd23 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H085 | ID: d6c31bad-dda9-4f94-860c-a16bb4ccc2f0 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H086 | ID: 2b36d6ca-c447-4b1e-a882-19ec24b49e8e | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H087 | ID: 10f84375-899b-4de5-9d81-6cef21c7ae11 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H088 | ID: 15c431b2-4e4a-441b-9de2-2593a5ac95e5 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H089 | ID: 1f468888-ed45-4d9e-aa72-f03e0b72f0ea | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H090 | ID: 536e4749-cac0-4c40-a7db-a7e2a22c4a02 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H091 | ID: 996ccc4d-ea78-4695-ace5-a1ce87362c6e | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H092 | ID: 5e9365a1-082f-4532-8278-b335f2c24cd3 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H093 | ID: b2d2ccab-5dc5-4836-8367-d7ccfeabf908 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H094 | ID: 64f49e88-3846-4823-93be-cd2a170b096d | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H095 | ID: df31f2f8-71d5-47b7-b372-3bb8b57eda51 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H096 | ID: 423cf129-b5ce-478b-a5da-bdc27b3f8a5b | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H097 | ID: 9cb70a9a-adc3-4e26-b987-4737eaa16424 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H098 | ID: 436345a6-970d-4f6f-aa84-46e1c562150f | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
